State,Urban-Utility-scale-PV,Rural-Utility-scale-PV,Rooftop-PV,Concentrated-Solar-Power,Onshore-Wind,Offshore-Wind,Biopower-Solid,Biopower-Gaseous,Geothermal-Hydrothermal,EGS-Geothermal,Hydropower
Alabama,35851,3706839,15476,0,283,0,11193,1533,0,535490,4103
Alaska,166,8282976,0,0,1373433,0,513,62,15437,0,23676
Arizona,121306,11867694,22736,12544334,26036,0,1088,837,8330,1239148,1303
Arkansas,28961,4986389,8485,0,22892,0,14381,1063,0,628622,6093
California,246008,8855917,106411,8490916,89862,2662580,12408,15511,130921,1344179,30024
Colorado,43471,10238084,16162,9154524,1096036,0,2913,1224,8954,1251658,7789
Connecticut,7717,19628,6616,0,62,26545,495,415,0,56078,922
Delaware,14856,272333,2185,0,22,60654,512,385,0,22813,31
District of Columbia,8,0,2490,0,0,0,62,5,0,698,1
Florida,72787,5137347,63987,359,1,34684,9664,3693,0,374161,682
Georgia,43167,5492183,31116,0,323,220807,14682,2221,0,353206,1988
Hawaii,3725,38033,0,15370,7787,2836735,524,200,20632,0,2602
Idaho,23195,3936848,4051,3502877,44320,0,5776,183,17205,993257,18758
Illinois,103552,8090985,30086,0,649468,66070,27738,4222,0,676056,4883
Indiana,98815,4876186,17151,0,377604,166,14942,2978,0,434258,2394
Iowa,27092,6994159,8646,0,1723588,0,27502,1425,0,606390,2818
Kansas,31706,14500149,8962,7974256,3101576,0,12104,753,0,989676,2508
Kentucky,26515,1823977,12312,0,147,0,7048,1274,0,484659,4255
Louisiana,55669,4114605,14368,0,935,1200699,14016,857,0,484271,2423
Maine,3216,1100327,2443,0,28743,631960,4273,125,0,377075,3916
Maryland,28551,585949,14850,0,3632,200852,2102,1227,0,86649,814
Massachusetts,17470,82205,11723,0,2827,799344,1045,1104,0,92227,1197
Michigan,50845,5215640,23528,0,143908,1739801,9358,2539,0,457850,1181
Minnesota,33370,10792814,14322,0,1428525,100455,20362,1030,0,369785,1255
Mississippi,26366,4981252,8614,0,0,10172,14210,1077,0,559056,2211
Missouri,30549,5335269,16160,0,689519,0,11838,2148,0,835445,7198
Montana,11371,8187341,2194,1540288,2746272,0,4925,147,6548,1647304,14547
Nebraska,12954,9266757,5337,4846929,3011253,0,16272,751,0,927996,3142
Nevada,24894,8614454,10767,8295753,17709,0,289,325,45321,1262175,846
New Hampshire,3790,57364,2299,0,5706,14478,954,390,0,104314,1741
New Jersey,44307,439774,15768,0,317,429808,1212,2311,0,35230,549
New Mexico,71356,16318543,6513,16812349,1399157,0,595,354,12933,1417978,1363
New York,52803,1492566,28780,0,63566,614280,5558,2950,0,375401,6711
North Carolina,68346,4232790,28420,0,2037,1269627,12870,3780,0,420741,3037
North Dakota,4871,9734448,1917,36050,2537825,0,8186,30,0,820226,347
Ohio,86496,3626182,30064,0,129143,170561,11009,3363,0,495922,3046
Oklahoma,50041,9341920,12443,5068036,1521652,0,4128,965,0,779667,3016
Oregon,25783,3740479,8323,2812126,68767,962723,13793,891,18200,914105,18184
Pennsylvania,56162,553356,22215,0,8231,23571,6314,7132,0,327341,8368
Rhode Island,1788,13636,1711,0,130,89115,143,474,0,11492,59
South Carolina,33835,2754973,14413,0,428,542218,6985,1430,0,364105,1889
South Dakota,4574,10008873,2083,1629660,2901858,0,8380,235,0,921973,1047
Tennessee,50243,2225990,19685,0,766,0,6095,1984,0,428380,5745
Texas,294684,38993582,78717,22786750,5552400,1101063,16078,5898,0,3030251,3006
Utah,30492,5184878,7514,5067547,31552,0,434,428,12982,939381,3528
Vermont,1632,54728,1115,0,7796,0,492,203,0,35617,1710
Virginia,27451,1882467,22267,0,4589,361054,7866,2498,0,290737,3657
Washington,33690,1738151,13599,161713,47250,488025,12312,1514,2547,563024,27249
West Virginia,3024,52694,4220,0,4952,0,2407,281,0,261376,4408
Wisconsin,54939,5042259,13939,0,255266,317755,11222,2073,0,647173,2287
Wyoming,7232,5727224,1551,5406407,1653857,0,503,50,1373,1070079,4445
