Year,Unitcost
1976,107
1977,81.32
1978,56.71
1979,48.15
1980,35.31
1981,26.75
1982,22.47
1983,19.26
1984,17.12
1985,14.98
1986,11.235
1987,8.56
1988,7.597
1989,8.239
1990,8.881
1991,8.025
1992,7.276
1993,7.169
1994,6.42
1995,5.885
1996,6.099
1997,6.42
1998,5.778
1999,5.136
2000,4.922
2001,4.815
2002,4.066
2003,4.0125
2004,4.173
2005,4.28
2006,4.494
2007,4.173
2008,3.4775
2009,2.4075
2010,2.04475
2011,1.67725
2012,0.876416667
2013,0.696333333
2014,0.6415
2015,0.5965
2016,0.5505
2017,0.462166667
2018,0.4115
2019,0.37725
